ds,y,leave_希望休,leave_有給
2025-04-01,270,6.0,0.0
2025-04-02,198,10.0,0.0
2025-04-03,180,11.0,0.0
2025-04-04,216,8.0,0.0
2025-04-05,216,7.0,2.0
2025-04-06,0,1.0,0.0
2025-04-07,252,7.0,0.0
2025-04-08,252,7.0,0.0
2025-04-09,198,8.0,2.0
2025-04-10,216,9.0,0.0
2025-04-11,216,9.0,0.0
2025-04-12,216,8.0,1.0
2025-04-13,0,0.0,0.0
2025-04-14,234,8.0,0.0
2025-04-15,238,6.0,1.0
2025-04-16,180,10.0,1.0
2025-04-17,216,8.0,1.0
2025-04-18,216,9.0,0.0
2025-04-19,234,7.0,1.0
2025-04-20,0,0.0,0.0
2025-04-21,216,9.0,0.0
2025-04-22,252,6.0,1.0
2025-04-23,198,10.0,0.0
2025-04-24,198,10.0,0.0
2025-04-25,216,7.0,1.0
2025-04-26,252,7.0,0.0
2025-04-27,0,1.0,0.0
2025-04-28,216,8.0,0.0
2025-04-29,234,6.0,1.0
2025-04-30,234,8.0,0.0
