month_period,dayofweek,leave_type,total_leave_days,leave_ratio
月初(1-10日),月曜日,希望休,7,0.03317535545023697
月初(1-10日),月曜日,有給,0,0.0
月初(1-10日),火曜日,希望休,13,0.061611374407582936
月初(1-10日),火曜日,有給,0,0.0
月初(1-10日),水曜日,希望休,18,0.08530805687203792
月初(1-10日),水曜日,有給,2,0.16666666666666666
月初(1-10日),木曜日,希望休,20,0.0947867298578199
月初(1-10日),木曜日,有給,0,0.0
月初(1-10日),金曜日,希望休,8,0.037914691943127965
月初(1-10日),金曜日,有給,0,0.0
月初(1-10日),土曜日,希望休,7,0.03317535545023697
月初(1-10日),土曜日,有給,2,0.16666666666666666
月初(1-10日),日曜日,希望休,1,0.004739336492890996
月初(1-10日),日曜日,有給,0,0.0
月中(11-20日),月曜日,希望休,8,0.037914691943127965
月中(11-20日),月曜日,有給,0,0.0
月中(11-20日),火曜日,希望休,6,0.02843601895734597
月中(11-20日),火曜日,有給,1,0.08333333333333333
月中(11-20日),水曜日,希望休,10,0.04739336492890995
月中(11-20日),水曜日,有給,1,0.08333333333333333
月中(11-20日),木曜日,希望休,8,0.037914691943127965
月中(11-20日),木曜日,有給,1,0.08333333333333333
月中(11-20日),金曜日,希望休,18,0.08530805687203792
月中(11-20日),金曜日,有給,0,0.0
月中(11-20日),土曜日,希望休,15,0.07109004739336493
月中(11-20日),土曜日,有給,2,0.16666666666666666
月中(11-20日),日曜日,希望休,0,0.0
月中(11-20日),日曜日,有給,0,0.0
月末(21-末日),月曜日,希望休,17,0.08056872037914692
月末(21-末日),月曜日,有給,0,0.0
月末(21-末日),火曜日,希望休,12,0.05687203791469194
月末(21-末日),火曜日,有給,2,0.16666666666666666
月末(21-末日),水曜日,希望休,18,0.08530805687203792
月末(21-末日),水曜日,有給,0,0.0
月末(21-末日),木曜日,希望休,10,0.04739336492890995
月末(21-末日),木曜日,有給,0,0.0
月末(21-末日),金曜日,希望休,7,0.03317535545023697
月末(21-末日),金曜日,有給,1,0.08333333333333333
月末(21-末日),土曜日,希望休,7,0.03317535545023697
月末(21-末日),土曜日,有給,0,0.0
月末(21-末日),日曜日,希望休,1,0.004739336492890996
月末(21-末日),日曜日,有給,0,0.0
